"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.266396700E-2,0.000000000E0,0.000000000E0,0.000000000E0
4.744141500E-2,1.227796078E-2,5.315780640E-3,-2.907490730E-2
5.221891500E-2,7.012963295E-3,-1.768112183E-2,-6.333184242E-2
5.699636300E-2,-1.040995121E-2,-2.950859070E-2,-8.707058430E-2
6.177381100E-2,-1.163649559E-2,-3.184413910E-2,-1.286172867E-1
6.655131100E-2,-3.955745697E-2,-4.059886932E-2,-1.516504288E-1
7.132875900E-2,-9.839498997E-2,-4.307651520E-2,-1.196918190E-1
7.610625900E-2,-1.278083324E-1,-5.443763733E-2,-7.100239396E-2
8.088370700E-2,-1.343086958E-1,-3.245067596E-2,2.447366714E-4
8.566115500E-2,-8.923780918E-2,-8.785247803E-3,7.827746868E-2
9.043865500E-2,-1.169502735E-2,9.363174438E-3,1.478999257E-1
9.521610300E-2,5.925559998E-2,3.758907318E-2,2.283474803E-1
9.999360300E-2,9.328579903E-2,4.846000671E-2,2.724425793E-1
1.047710510E-1,1.344985962E-1,4.664707184E-2,3.024256825E-1
1.095480300E-1,1.268780231E-1,4.855251312E-2,3.283395171E-1
1.143259990E-1,1.008126736E-1,1.579856873E-2,3.195599914E-1
1.191034470E-1,8.456373215E-2,-1.554107666E-2,2.958673835E-1
1.238808940E-1,6.096220016E-2,-1.753711700E-2,2.724621296E-1
1.286583940E-1,1.213479042E-2,-4.186630249E-3,2.086876035E-1
1.334358420E-1,-2.067673206E-2,1.130294800E-2,1.686195135E-1
1.382133420E-1,-3.551340103E-2,2.778339386E-2,1.308918595E-1
1.429907900E-1,-3.039169312E-2,3.501224518E-2,8.534550667E-2
1.477682380E-1,-4.168736935E-2,2.367877960E-2,3.722888231E-2
1.525457380E-1,-3.317320347E-2,2.145004272E-2,1.411336660E-2
1.573231860E-1,-2.561211586E-2,2.051353455E-2,-1.170861721E-2
1.621006340E-1,6.385207176E-3,1.793003082E-2,-2.163827419E-2
1.668781340E-1,1.935458183E-2,2.354240417E-2,-1.173740625E-2
1.716555820E-1,5.790197849E-2,-1.196002960E-2,1.684123278E-2
1.764330820E-1,8.024072647E-2,-1.620578766E-2,3.750312328E-2
1.812105300E-1,6.554770470E-2,-4.056262970E-2,6.216698885E-2
1.859880300E-1,7.973682880E-2,-3.581333160E-2,8.203768730E-2
1.907654780E-1,7.097232342E-2,-3.994655609E-2,8.868050575E-2
1.955429260E-1,5.970871449E-2,-1.730251312E-2,1.068526506E-1
2.003204260E-1,4.002940655E-2,-4.068374634E-3,1.112748981E-1
2.050978740E-1,2.733206749E-2,2.737045288E-2,1.018355489E-1
2.098753220E-1,-1.058077812E-2,2.306270599E-2,9.739977121E-2
2.146528220E-1,-2.421402931E-2,2.469921112E-2,8.396643400E-2
2.194302690E-1,-1.535809040E-2,-7.467269897E-3,7.265496254E-2
2.242077690E-1,-2.656650543E-2,-1.142501831E-2,6.229883432E-2
2.289852170E-1,-1.761913300E-4,-4.209518433E-3,4.817116261E-2
2.337626650E-1,-2.440333366E-3,-4.175186157E-3,5.894958973E-2
2.385401650E-1,-2.103292942E-2,1.108169556E-3,6.538647413E-2
2.433176130E-1,4.009366035E-3,4.205703735E-4,6.354379654E-2
2.480950610E-1,1.440274715E-2,7.920265198E-3,7.586795092E-2
2.528725610E-1,2.872145176E-2,1.702213287E-2,8.502602577E-2
2.576500090E-1,3.635406494E-2,1.598072052E-2,1.018330455E-1
2.624275090E-1,4.087412357E-2,2.432346344E-2,1.330341697E-1
2.672049570E-1,6.814682484E-2,3.483295441E-2,1.631947756E-1
2.719824050E-1,8.086585999E-2,1.114273071E-2,1.959817410E-1
2.767599050E-1,8.927679062E-2,1.310729980E-2,2.022427917E-1
2.815373530E-1,1.182007790E-1,4.459381104E-3,1.194024086E-2
2.863148010E-1,8.387351036E-2,2.474880219E-2,-6.339257956E-2
2.910923010E-1,3.846406937E-3,1.359939575E-2,-1.895284057E-1
2.958697490E-1,-6.541860104E-2,-2.601623535E-3,-2.663654685E-1
3.006472490E-1,-1.102056503E-1,1.202487946E-2,-2.119673491E-1
3.054246970E-1,-1.038891077E-1,8.771896362E-3,-2.048934698E-1
3.102021440E-1,-2.311623096E-2,-1.673316956E-2,-1.490197778E-1
3.149796440E-1,4.865181446E-2,-2.120590210E-2,-5.554121733E-2
3.197570920E-1,9.408330917E-2,-1.087760925E-2,1.397132874E-2
3.245345400E-1,1.141554117E-1,2.814292908E-3,6.589120626E-2
3.293120400E-1,8.402407169E-2,1.628494263E-2,1.142764091E-1
3.340894880E-1,5.443727970E-2,4.071617126E-2,1.256105304E-1
3.388669880E-1,2.354466915E-2,3.884315491E-2,1.323509812E-1
3.436444360E-1,4.353404045E-3,4.936218262E-2,1.345031261E-1
3.484218840E-1,2.379941940E-2,4.736137390E-2,1.409451365E-1
3.531993840E-1,3.944349289E-2,3.596687317E-2,1.268569231E-1
3.579768320E-1,7.849276066E-2,2.357292175E-2,1.013309360E-1
3.627542800E-1,8.462095261E-2,3.200817108E-2,9.798341990E-2
3.675317800E-1,1.013928652E-1,2.089023590E-2,1.035580635E-1
3.723092280E-1,1.186772585E-1,5.301189423E-2,8.835858107E-2
3.770867280E-1,1.234176159E-1,5.758190155E-2,7.504439354E-2
3.818641760E-1,1.193716526E-1,4.677867889E-2,5.369794369E-2
3.866416240E-1,9.773254395E-2,3.202342987E-2,3.247112036E-2
3.914191240E-1,9.303247929E-2,2.221488953E-2,2.328854799E-2
3.961965720E-1,8.732140064E-2,5.033969879E-2,8.258223534E-3
4.009740190E-1,8.240818977E-2,5.686664581E-2,-2.778047323E-2
4.057515190E-1,6.589388847E-2,2.379035950E-2,-3.334492445E-2
4.105289670E-1,8.103442192E-2,7.117271423E-3,-5.074751377E-2
4.153064670E-1,5.878245831E-2,6.611824036E-3,-8.163857460E-2
4.200839150E-1,5.048191547E-2,1.145267487E-2,-7.386213541E-2
4.248613630E-1,5.779016018E-2,-7.970809937E-3,-6.967306137E-2
4.296388630E-1,5.262434483E-2,1.717472076E-2,-7.099646330E-2
4.344163110E-1,6.948935986E-2,-5.828857422E-3,-6.232452393E-2
4.391937590E-1,6.083369255E-2,-2.204036713E-2,-6.149417162E-2
4.439712590E-1,6.475579739E-2,-2.563858032E-2,-6.307727098E-2
4.487487070E-1,5.094361305E-2,-1.795387268E-2,-5.404329300E-2
4.535262070E-1,4.671001434E-2,-2.336883545E-2,-3.930336237E-2
4.583036550E-1,4.130065441E-2,-3.937625885E-2,-1.471996307E-2
4.630811030E-1,5.250179768E-2,-4.160022736E-2,2.308547497E-2
4.678586030E-1,5.412709713E-2,-5.563163757E-2,4.979920387E-2
4.726360510E-1,5.810225010E-2,-5.531978607E-2,8.632761240E-2
4.774134990E-1,3.542554379E-2,-3.905487061E-2,1.173167825E-1
4.821909990E-1,2.777826786E-2,-1.291084290E-2,1.527149677E-1
4.869684470E-1,2.556025982E-2,-4.828453064E-3,1.768741012E-1
4.917459470E-1,2.518987656E-2,-1.045989990E-2,2.004956007E-1
4.965233940E-1,4.106402397E-3,-1.073265076E-2,2.099984288E-1
5.013008420E-1,5.668520927E-3,-1.566886902E-3,2.084407210E-1
5.060783420E-1,2.853548527E-2,1.220607758E-2,1.878279448E-1
5.108557900E-1,2.039480209E-2,3.327369690E-3,1.693875194E-1
5.156332380E-1,2.363586426E-2,4.594802856E-3,1.395179033E-1
5.204107380E-1,3.746509552E-3,-2.141284943E-2,1.024738550E-1
5.251881860E-1,5.862355232E-3,-3.475761414E-2,7.599478960E-2
5.299656340E-1,-8.659482002E-3,-2.961730957E-2,2.727597952E-2
5.347431340E-1,-2.614402771E-2,-1.921463013E-2,-2.756112814E-2
5.395205820E-1,-5.718946457E-2,-1.306152344E-2,-5.481028557E-2
5.442980820E-1,-7.565140724E-2,3.693580627E-3,-7.852649689E-2
5.490755300E-1,-8.340871334E-2,-2.118587494E-2,-8.926779032E-2
5.538529780E-1,-6.572592258E-2,-1.264953613E-2,-9.954339266E-2
5.586304780E-1,-4.354083538E-2,-1.840972900E-2,-8.864706755E-2
5.634079260E-1,-3.471398354E-2,-1.701259613E-2,-5.963689089E-2
5.681853740E-1,-2.549600601E-2,-1.208782196E-2,-5.230730772E-2
5.729628740E-1,-2.106249332E-2,-1.786994934E-2,-4.449117184E-2
5.777403220E-1,-7.462501526E-5,-6.421089172E-3,-4.265904427E-4
5.825178220E-1,-3.049254417E-3,6.691932678E-3,3.440779448E-2
5.872952690E-1,5.856394768E-3,-1.293563843E-2,6.314373016E-2
5.920727170E-1,1.108741760E-2,4.354476929E-3,9.591770172E-2
5.968502170E-1,2.567124367E-2,1.494312286E-2,1.357095242E-1
6.016276650E-1,3.654909134E-2,1.653862000E-2,1.959803104E-1
6.064051130E-1,7.085692883E-2,6.797790527E-3,2.618860006E-1
6.111826130E-1,8.722662926E-2,1.137256622E-2,2.943726778E-1
6.159600610E-1,9.295940399E-2,-1.257610321E-2,2.873424888E-1
6.207375090E-1,9.219419956E-2,-2.332878113E-2,2.277651429E-1
6.255150090E-1,8.246314526E-2,2.139091492E-3,2.101335526E-1
6.302924570E-1,6.987798214E-2,-1.713275909E-2,1.883887053E-1
6.350699050E-1,8.306074142E-2,-6.057739258E-2,7.179147005E-2
6.398474050E-1,7.897174358E-2,-7.699108124E-2,-1.356005669E-4
6.446248530E-1,5.290663242E-2,-2.684688568E-2,-2.504920959E-2
6.494023530E-1,4.057919979E-2,9.164810181E-4,-9.610104561E-2
6.541798010E-1,4.966890812E-2,1.066493988E-2,-1.430531740E-1
6.589572490E-1,6.995546818E-2,8.481025696E-3,-2.069602609E-1
6.637347490E-1,7.465648651E-2,-1.937866211E-3,-2.572889924E-1
6.685121970E-1,5.969250202E-2,-9.845733643E-3,-3.132327795E-1
6.732896440E-1,2.840757370E-4,-3.387451172E-3,-3.500910997E-1
6.780671440E-1,-5.390202999E-2,-3.015232086E-2,-3.481492698E-1
6.828445920E-1,-1.196318865E-1,-4.302883148E-2,-3.301924169E-1
6.876220400E-1,-1.398620605E-1,-3.147125244E-2,-3.026428223E-1
6.923995400E-1,-1.202900410E-1,-5.146694183E-2,-2.462869883E-1
6.971769880E-1,-7.665157318E-2,-5.350112915E-2,-2.066096663E-1
7.019544360E-1,-2.747690678E-2,-1.043415070E-2,-1.406280398E-1
