"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.945417600E-2,1.867500114E1,-3.521250153E1,-3.690000153E1
6.945417600E-2,1.871250153E1,-3.586875153E1,-3.708750153E1
7.945417600E-2,1.897500038E1,-3.530625153E1,-3.680625153E1
8.945417600E-2,1.916250038E1,-3.532500076E1,-3.738750076E1
9.945417600E-2,1.936875153E1,-3.502500153E1,-3.738750076E1
1.094541760E-1,1.953750038E1,-3.528750229E1,-3.725625229E1
1.194541760E-1,1.981875038E1,-3.543750000E1,-3.742500305E1
1.294541760E-1,1.976250076E1,-3.549375153E1,-3.751875305E1
1.394541760E-1,1.974375153E1,-3.547500229E1,-3.759375000E1
1.494541760E-1,1.980000114E1,-3.543750000E1,-3.778125000E1
1.594541760E-1,1.991250038E1,-3.579375076E1,-3.832500076E1
1.694541760E-1,1.998750114E1,-3.603750229E1,-3.802500153E1
1.794541760E-1,2.011875153E1,-3.645000076E1,-3.810000229E1
1.894541760E-1,2.008125114E1,-3.633750153E1,-3.834375000E1
1.994541760E-1,1.976250076E1,-3.641250229E1,-3.832500076E1
2.094541760E-1,1.980000114E1,-3.656250000E1,-3.825000000E1
2.194541760E-1,1.985625076E1,-3.648750305E1,-3.825000000E1
2.294541760E-1,1.978125000E1,-3.660000229E1,-3.823125076E1
2.394541760E-1,1.991250038E1,-3.650625229E1,-3.776250076E1
2.494541760E-1,1.976250076E1,-3.643125153E1,-3.796875000E1
2.594541760E-1,1.993125153E1,-3.641250229E1,-3.834375000E1
2.694541760E-1,1.991250038E1,-3.628125000E1,-3.832500076E1
2.794541760E-1,1.991250038E1,-3.615000153E1,-3.821250153E1
2.894541760E-1,1.980000114E1,-3.603750229E1,-3.851250076E1
2.994541760E-1,1.995000076E1,-3.631875229E1,-3.868125153E1
3.094541760E-1,1.996875000E1,-3.603750229E1,-3.862500000E1
3.194541760E-1,1.981875038E1,-3.583125305E1,-3.871875000E1
3.294541760E-1,1.983750153E1,-3.571875000E1,-3.860625076E1
3.394541760E-1,1.957500076E1,-3.560625076E1,-3.813750076E1
